
metadata
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon	
1			2012-07-31T16:17:02Z		-17.666544858366251	31.1055345274508	-17.459403974935412	31.264273775741458	

author
ID	name	email	

copyright
year	license	author	

link
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href	
1							"Garmin International"		http://www.garmin.com	

rte
ID	name	cmt	desc	src	number	type	

trk
ID	name	cmt	desc	src	number	type	
1	"Alfie’s Ride"						
2	"Baboon Valley"						
3	"Cross Kopjie"						
4	"Gulliver Dam"						
5	"Lone Tree"						
6	"Ngomakurira"						
7	"Ngomakurira View to Killarney Dam"						

trkseg
ID	trkID	
128	1	-17.627757098525763	31.177693074569106	1536.8	2012-07-18T13:22:12Z																				0	
129	1	-17.627738490700722	31.177845122292638	1538.73	2012-07-18T13:22:19Z																				0	
130	1	-17.627779142931104	31.177912848070264	1540.1700000000001	2012-07-18T13:22:23Z																				0	
131	1	-17.627826081588864	31.177996248006821	1541.1300000000001	2012-07-18T13:22:28Z																				0	
132	1	-17.627943763509393	31.178232617676258	1542.5699999999999	2012-07-18T13:22:42Z																				0	
133	1	-17.62800570577383	31.178281987085938	1542.5699999999999	2012-07-18T13:22:46Z																				0	
134	1	-17.628047447651625	31.178309060633183	1543.05	2012-07-18T13:22:48Z																				0	
135	1	-17.628117268905044	31.178311491385102	1543.05	2012-07-18T13:22:51Z																				0	
136	1	-17.628276608884335	31.178427077829838	1542.5699999999999	2012-07-18T13:22:59Z																				0	
137	1	-17.628441229462624	31.17850486189127	1540.6500000000001	2012-07-18T13:23:05Z																				0	
138	1	-17.62870442122221	31.178640648722649	1538.73	2012-07-18T13:23:14Z																				0	
139	1	-17.628933666273952	31.178657412528992	1536.8	2012-07-18T13:23:20Z																				0	
140	1	-17.629171460866928	31.178735867142677	1535.3599999999999	2012-07-18T13:23:28Z																				0	
141	1	-17.629336584359407	31.17879563011229	1533.9200000000001	2012-07-18T13:23:31Z																				0	
142	1	-17.62948427349329	31.178894368931651	1534.4000000000001	2012-07-18T13:23:34Z																				0	
143	1	-17.629664316773415	31.179044572636485	1535.3599999999999	2012-07-18T13:23:39Z																				0	
144	1	-17.62984000146389	31.179170133545995	1537.29	2012-07-18T13:23:44Z																				0	
145	1	-17.63016396202147	31.17941371165216	1540.1700000000001	2012-07-18T13:23:56Z																				0	
146	1	-17.630208553746343	31.179451011121273	1539.6900000000001	2012-07-18T13:24:06Z																				0	
147	1	-17.630204614251852	31.17945084348321	1540.1700000000001	2012-07-18T13:24:33Z																				0	
148	1	-17.630205787718296	31.179452268406749	1539.21	2012-07-18T13:24:57Z																				0	
149	1	-17.630207967013121	31.179442880675197	1539.6900000000001	2012-07-18T13:25:20Z																				0	
150	1	-17.630317015573382	31.179484287276864	1538.73	2012-07-18T13:25:39Z																				0	
151	1	-17.630316093564034	31.179485209286213	1538.73	2012-07-18T13:25:40Z																				0	
152	1	-17.630233112722635	31.179472887888551	1540.1700000000001	2012-07-18T13:25:52Z																				0	
153	1	-17.630230514332652	31.179469786584377	1538.73	2012-07-18T13:26:12Z																				0	
154	1	-17.630230179056525	31.179470960050821	1538.73	2012-07-18T13:26:42Z																				0	
155	1	-17.63022992759943	31.179469786584377	1538.25	2012-07-18T13:27:15Z																				0	
156	1	-17.630230346694589	31.179470540955663	1538.25	2012-07-18T13:27:47Z																				0	
157	1	-17.630244344472885	31.179470373317599	1538.25	2012-07-18T13:27:50Z																				0	
158	1	-17.630313076078892	31.179495602846146	1537.77	2012-07-18T13:27:53Z																				0	
159	1	-17.630416424944997	31.179551845416427	1536.8	2012-07-18T13:27:55Z																				0	
160	1	-17.630958817899227	31.179990135133266	1525.27	2012-07-18T13:28:05Z																				0	
161	1	-17.63105914928019	31.180107817053795	1522.3900000000001	2012-07-18T13:28:07Z																				0	
162	1	-17.631480507552624	31.180782811716199	1496.9100000000001	2012-07-18T13:28:16Z																				0	
163	1	-17.63157807290554	31.180986743420362	1493.0599999999999	2012-07-18T13:28:19Z																				0	
164	1	-17.631599111482501	31.181206684559584	1491.6199999999999	2012-07-18T13:28:25Z																				0	
165	1	-17.631586790084839	31.181195620447397	1492.5799999999999	2012-07-18T13:28:50Z																				0	
166	1	-17.631585113704205	31.181194363161922	1493.0599999999999	2012-07-18T13:29:03Z																				0	
167	1	-17.631565248593688	31.180954724550247	1494.99	2012-07-18T13:29:12Z																				0	
168	1	-17.631412865594029	31.180708715692163	1501.24	2012-07-18T13:29:22Z																				0	
169	1	-17.63125411234796	31.180500760674477	1505.5599999999999	2012-07-18T13:29:33Z																				0	
170	1	-17.631249753758311	31.180491372942924	1505.5599999999999	2012-07-18T13:29:34Z																				0	
171	1	-17.631175741553307	31.180365057662129	1510.3699999999999	2012-07-18T13:29:49Z																				0	
172	1	-17.631132993847132	31.180333206430078	1513.25	2012-07-18T13:29:57Z																				0	
173	1	-17.631021849811077	31.180237988010049	1518.0599999999999	2012-07-18T13:30:14Z																				0	
174	1	-17.630985304713249	31.180183673277497	1520.46	2012-07-18T13:30:22Z																				0	
175	1	-17.630947669968009	31.180051993578672	1525.27	2012-07-18T13:30:39Z																				0	
176	1	-17.63093157671392	31.180018046870828	1525.75	2012-07-18T13:30:43Z																				0	
177	1	-17.630815571174026	31.179864909499884	1530.0799999999999	2012-07-18T13:31:01Z																				0	
178	1	-17.630735356360674	31.179801793769002	1532	2012-07-18T13:31:10Z																				0	
179	1	-17.630598060786724	31.179659049957991	1534.8800000000001	2012-07-18T13:31:27Z																				0	
